ijk,Afreq,Bfreq,Cfreq,molecule,Beta,basis,omega
zzy,-0.0,0.0,0.0,n2,-25.809097477309944,MRA,0
zzz,-0.0,0.0,0.0,n2,4.942940424658656e-05,MRA,0
xxx,-0.0,0.0,0.0,n8,-825.1433117169872,MRA,0
xxy,-0.0,0.0,0.0,n8,3495.958920273035,MRA,0
xxz,-0.0,0.0,0.0,n8,0.00032955476354506953,MRA,0
xyx,-0.0,0.0,0.0,n8,3495.9589202728985,MRA,0
xyy,-0.0,0.0,0.0,n8,-12877.698250224195,MRA,0
xyz,-0.0,0.0,0.0,n8,-0.001949700901402388,MRA,0
xzx,-0.0,0.0,0.0,n8,0.00032955476385518356,MRA,0
xzy,-0.0,0.0,0.0,n8,-0.0019497009000811437,MRA,0
xzz,-0.0,0.0,0.0,n8,11.888059369113357,MRA,0
yxx,-0.0,0.0,0.0,n8,3495.9580819117064,MRA,0
yxy,-0.0,0.0,0.0,n8,-12877.69477029097,MRA,0
yxz,-0.0,0.0,0.0,n8,-0.0019495766052062876,MRA,0
yyx,-0.0,0.0,0.0,n8,-12877.694770290174,MRA,0
yyy,-0.0,0.0,0.0,n8,38585.82732049859,MRA,0
yyz,-0.0,0.0,0.0,n8,0.00992779161057981,MRA,0
yzx,-0.0,0.0,0.0,n8,-0.001949576605707955,MRA,0
yzy,-0.0,0.0,0.0,n8,0.009927791603249048,MRA,0
yzz,-0.0,0.0,0.0,n8,-40.476297194091195,MRA,0
zxx,-0.0,0.0,0.0,n8,0.0003293625566779466,MRA,0
zxy,-0.0,0.0,0.0,n8,-0.0019494054778995376,MRA,0
zxz,-0.0,0.0,0.0,n8,11.888126106607187,MRA,0
zyx,-0.0,0.0,0.0,n8,-0.0019494054770075786,MRA,0
zyy,-0.0,0.0,0.0,n8,0.009929468017206781,MRA,0
zyz,-0.0,0.0,0.0,n8,-40.476184638753764,MRA,0
zzx,-0.0,0.0,0.0,n8,11.88812610662244,MRA,0
zzy,-0.0,0.0,0.0,n8,-40.47618463877793,MRA,0
zzz,-0.0,0.0,0.0,n8,2.4525418256237587e-05,MRA,0
xxx,-0.0,0.0,0.0,n5,5163.656168999628,MRA,0
xxy,-0.0,0.0,0.0,n5,5464.037187938362,MRA,0
xxz,-0.0,0.0,0.0,n5,-0.0009505502643376453,MRA,0
xyx,-0.0,0.0,0.0,n5,5464.037187937913,MRA,0
xyy,-0.0,0.0,0.0,n5,4856.565410653235,MRA,0
xyz,-0.0,0.0,0.0,n5,-0.001228587944804173,MRA,0
xzx,-0.0,0.0,0.0,n5,-0.000950550264722491,MRA,0
xzy,-0.0,0.0,0.0,n5,-0.0012285879433411647,MRA,0
xzz,-0.0,0.0,0.0,n5,-33.45307880032945,MRA,0
yxx,-0.0,0.0,0.0,n5,5464.040034237425,MRA,0
yxy,-0.0,0.0,0.0,n5,4856.567105775103,MRA,0
yxz,-0.0,0.0,0.0,n5,-0.001228724218643671,MRA,0
yyx,-0.0,0.0,0.0,n5,4856.5671057748,MRA,0
yyy,-0.0,0.0,0.0,n5,3890.993580855284,MRA,0
yyz,-0.0,0.0,0.0,n5,-0.001099170252408519,MRA,0
yzx,-0.0,0.0,0.0,n5,-0.0012287242188379365,MRA,0
yzy,-0.0,0.0,0.0,n5,-0.0010991702513746641,MRA,0
yzz,-0.0,0.0,0.0,n5,-27.887883052419873,MRA,0
zxx,-0.0,0.0,0.0,n5,-0.000995273943177951,MRA,0
zxy,-0.0,0.0,0.0,n5,-0.0012538474171380775,MRA,0
zxz,-0.0,0.0,0.0,n5,-33.452809469203956,MRA,0
zyx,-0.0,0.0,0.0,n5,-0.0012538474182442983,MRA,0
zyy,-0.0,0.0,0.0,n5,-0.0011171868141411293,MRA,0
zyz,-0.0,0.0,0.0,n5,-27.887833820187417,MRA,0
zzx,-0.0,0.0,0.0,n5,-33.452809469224285,MRA,0
zzy,-0.0,0.0,0.0,n5,-27.88783382019751,MRA,0
zzz,-0.0,0.0,0.0,n5,-2.1719392922653842e-05,MRA,0
xxx,-0.0,0.0,0.0,n6,-514.2596583351351,MRA,0
xxy,-0.0,0.0,0.0,n6,2118.802465779769,MRA,0
xxz,-0.0,0.0,0.0,n6,-0.00015922489775839594,MRA,0
xyx,-0.0,0.0,0.0,n6,2118.8024657799206,MRA,0
xyy,-0.0,0.0,0.0,n6,-7177.597917996823,MRA,0
xyz,-0.0,0.0,0.0,n6,9.172994123895695e-05,MRA,0
xzx,-0.0,0.0,0.0,n6,-0.00015922489667036046,MRA,0
xzy,-0.0,0.0,0.0,n6,9.172994170833924e-05,MRA,0
xzz,-0.0,0.0,0.0,n6,13.472219995901682,MRA,0
yxx,-0.0,0.0,0.0,n6,2118.802189358491,MRA,0
yxy,-0.0,0.0,0.0,n6,-7177.598058493973,MRA,0
yxz,-0.0,0.0,0.0,n6,9.181520207940139e-05,MRA,0
yyx,-0.0,0.0,0.0,n6,-7177.598058495211,MRA,0
yyy,-0.0,0.0,0.0,n6,18488.940793018763,MRA,0
yyz,-0.0,0.0,0.0,n6,-0.0002748871514788042,MRA,0
yzx,-0.0,0.0,0.0,n6,9.181520816613868e-05,MRA,0
yzy,-0.0,0.0,0.0,n6,-0.0002748871543586276,MRA,0
yzz,-0.0,0.0,0.0,n6,-41.66573303698484,MRA,0
zxx,-0.0,0.0,0.0,n6,-0.0001593157447632026,MRA,0
zxy,-0.0,0.0,0.0,n6,9.075904548629945e-05,MRA,0
zxz,-0.0,0.0,0.0,n6,13.472270710441753,MRA,0
zyx,-0.0,0.0,0.0,n6,9.075904760588943e-05,MRA,0
zyy,-0.0,0.0,0.0,n6,-0.00027000297751356665,MRA,0
zyz,-0.0,0.0,0.0,n6,-41.665598825202885,MRA,0
zzx,-0.0,0.0,0.0,n6,13.472270710429413,MRA,0
zzy,-0.0,0.0,0.0,n6,-41.66559882522099,MRA,0
zzz,-0.0,0.0,0.0,n6,-0.000128815663981168,MRA,0
xxx,-0.0,0.0,0.0,n4,-332.05855833243584,MRA,0
xxy,-0.0,0.0,0.0,n4,1165.5041299801426,MRA,0
xxz,-0.0,0.0,0.0,n4,-5.691576175338229e-05,MRA,0
xyx,-0.0,0.0,0.0,n4,1165.5041299800855,MRA,0
xyy,-0.0,0.0,0.0,n4,-3083.596757622707,MRA,0
xyz,-0.0,0.0,0.0,n4,0.00011707864074782217,MRA,0
xzx,-0.0,0.0,0.0,n4,-5.691576161804558e-05,MRA,0
xzy,-0.0,0.0,0.0,n4,0.00011707864123305215,MRA,0
xzz,-0.0,0.0,0.0,n4,16.011752650339247,MRA,0
yxx,-0.0,0.0,0.0,n4,1165.5035247857552,MRA,0
yxy,-0.0,0.0,0.0,n4,-3083.5925787047977,MRA,0
yxz,-0.0,0.0,0.0,n4,0.00011799858799235669,MRA,0
yyx,-0.0,0.0,0.0,n4,-3083.5925787045912,MRA,0
yyy,-0.0,0.0,0.0,n4,5599.356512285878,MRA,0
yyz,-0.0,0.0,0.0,n4,-0.0002968869873165167,MRA,0
yzx,-0.0,0.0,0.0,n4,0.00011799858802867056,MRA,0
yzy,-0.0,0.0,0.0,n4,-0.000296886989495736,MRA,0
yzz,-0.0,0.0,0.0,n4,-38.6063134880747,MRA,0
zxx,-0.0,0.0,0.0,n4,-6.110333962579038e-05,MRA,0
zxy,-0.0,0.0,0.0,n4,0.0001280627531258556,MRA,0
zxz,-0.0,0.0,0.0,n4,16.010840023859558,MRA,0
zyx,-0.0,0.0,0.0,n4,0.00012806275323438838,MRA,0
zyy,-0.0,0.0,0.0,n4,-0.00030436216664906843,MRA,0
zyz,-0.0,0.0,0.0,n4,-38.606347694667924,MRA,0
zzx,-0.0,0.0,0.0,n4,16.01084002386831,MRA,0
zzy,-0.0,0.0,0.0,n4,-38.606347694678234,MRA,0
zzz,-0.0,0.0,0.0,n4,0.00013325885597268577,MRA,0
xxx,-0.0,0.0,0.0,n14,-2862.936590928655,MRA,0
xxy,-0.0,0.0,0.0,n14,10297.436405790775,MRA,0
xxz,-0.0,0.0,0.0,n14,0.0003963038234030814,MRA,0
xyx,-0.0,0.0,0.0,n14,10297.436405790475,MRA,0
xyy,-0.0,0.0,0.0,n14,-34693.28236114733,MRA,0
xyz,-0.0,0.0,0.0,n14,-0.00030965192386054046,MRA,0
xzx,-0.0,0.0,0.0,n14,0.00039630381667998425,MRA,0
xzy,-0.0,0.0,0.0,n14,-0.0003096519384542374,MRA,0
xzz,-0.0,0.0,0.0,n14,9.586750454110746,MRA,0
yxx,-0.0,0.0,0.0,n14,10297.433819317703,MRA,0
yxy,-0.0,0.0,0.0,n14,-34693.25705690582,MRA,0
yxz,-0.0,0.0,0.0,n14,-0.0003313001888773643,MRA,0
yyx,-0.0,0.0,0.0,n14,-34693.257056903276,MRA,0
yyy,-0.0,0.0,0.0,n14,106285.44440453155,MRA,0
yyz,-0.0,0.0,0.0,n14,-0.0002870582453738447,MRA,0
yzx,-0.0,0.0,0.0,n14,-0.0003313001824082959,MRA,0
yzy,-0.0,0.0,0.0,n14,-0.000287058170271165,MRA,0
yzz,-0.0,0.0,0.0,n14,-29.40467602856989,MRA,0
zxx,-0.0,0.0,0.0,n14,0.0004001697486696001,MRA,0
zxy,-0.0,0.0,0.0,n14,-0.0003290993772700256,MRA,0
zxz,-0.0,0.0,0.0,n14,9.587964617967426,MRA,0
zyx,-0.0,0.0,0.0,n14,-0.00032909937774138853,MRA,0
zyy,-0.0,0.0,0.0,n14,-0.00030000383800953684,MRA,0
zyz,-0.0,0.0,0.0,n14,-29.404121909049596,MRA,0
zzx,-0.0,0.0,0.0,n14,9.587964617976871,MRA,0
zzy,-0.0,0.0,0.0,n14,-29.40412190909896,MRA,0
zzz,-0.0,0.0,0.0,n14,-9.713219554698037e-05,MRA,0
xxx,-0.0,0.0,0.0,n10,-1254.0207126216083,MRA,0
xxy,-0.0,0.0,0.0,n10,5205.300442343615,MRA,0
xxz,-0.0,0.0,0.0,n10,0.000427644655549666,MRA,0
xyx,-0.0,0.0,0.0,n10,5205.300442343814,MRA,0
xyy,-0.0,0.0,0.0,n10,-19447.94046880037,MRA,0
xyz,-0.0,0.0,0.0,n10,-0.0013187522935426154,MRA,0
xzx,-0.0,0.0,0.0,n10,0.0004276446736959571,MRA,0
xzy,-0.0,0.0,0.0,n10,-0.0013187522922077427,MRA,0
xzz,-0.0,0.0,0.0,n10,10.793276622804402,MRA,0
yxx,-0.0,0.0,0.0,n10,5205.297223095797,MRA,0
yxy,-0.0,0.0,0.0,n10,-19447.919777496958,MRA,0
yxz,-0.0,0.0,0.0,n10,-0.0013212137734531677,MRA,0
yyx,-0.0,0.0,0.0,n10,-19447.919777499104,MRA,0
yyy,-0.0,0.0,0.0,n10,62170.13346541686,MRA,0
yyz,-0.0,0.0,0.0,n10,0.005147206984826864,MRA,0
yzx,-0.0,0.0,0.0,n10,-0.0013212141082333054,MRA,0
yzy,-0.0,0.0,0.0,n10,0.005147206976692875,MRA,0
yzz,-0.0,0.0,0.0,n10,-36.891228706724405,MRA,0
zxx,-0.0,0.0,0.0,n10,0.00042831521675128865,MRA,0
zxy,-0.0,0.0,0.0,n10,-0.0013228566277316066,MRA,0
zxz,-0.0,0.0,0.0,n10,10.793847326266395,MRA,0
zyx,-0.0,0.0,0.0,n10,-0.0013228566265279383,MRA,0
zyy,-0.0,0.0,0.0,n10,0.005154310989081618,MRA,0
zyz,-0.0,0.0,0.0,n10,-36.8907953278593,MRA,0
zzx,-0.0,0.0,0.0,n10,10.793847326268965,MRA,0
zzy,-0.0,0.0,0.0,n10,-36.890795327893336,MRA,0
zzz,-0.0,0.0,0.0,n10,-0.00026110989055634366,MRA,0
xxx,-0.0,0.0,0.0,n7,11963.856709715354,MRA,0
xxy,-0.0,0.0,0.0,n7,12254.981557386709,MRA,0
xxz,-0.0,0.0,0.0,n7,0.0019439362791718328,MRA,0
xyx,-0.0,0.0,0.0,n7,12254.981557385832,MRA,0
xyy,-0.0,0.0,0.0,n7,11415.091194014887,MRA,0
xyz,-0.0,0.0,0.0,n7,0.0020509788643854796,MRA,0
xzx,-0.0,0.0,0.0,n7,0.0019439362734733345,MRA,0
xzy,-0.0,0.0,0.0,n7,0.002050978862188821,MRA,0
xzz,-0.0,0.0,0.0,n7,-32.3162283655584,MRA,0
yxx,-0.0,0.0,0.0,n7,12254.983588313757,MRA,0
yxy,-0.0,0.0,0.0,n7,11415.092651791845,MRA,0
yxz,-0.0,0.0,0.0,n7,0.0020508245301720605,MRA,0
yyx,-0.0,0.0,0.0,n7,11415.092651791334,MRA,0
yyy,-0.0,0.0,0.0,n7,9992.777444389505,MRA,0
yyz,-0.0,0.0,0.0,n7,0.0019348856297181848,MRA,0
yzx,-0.0,0.0,0.0,n7,0.0020508245263748024,MRA,0
yzy,-0.0,0.0,0.0,n7,0.0019348856246728004,MRA,0
yzz,-0.0,0.0,0.0,n7,-28.69105423812187,MRA,0
zxx,-0.0,0.0,0.0,n7,0.0020281867227273337,MRA,0
zxy,-0.0,0.0,0.0,n7,0.0021020653825767873,MRA,0
zxz,-0.0,0.0,0.0,n7,-32.316035586017314,MRA,0
zyx,-0.0,0.0,0.0,n7,0.002102065382221723,MRA,0
zyy,-0.0,0.0,0.0,n7,0.0019773462668858715,MRA,0
zyz,-0.0,0.0,0.0,n7,-28.691000128890508,MRA,0
zzx,-0.0,0.0,0.0,n7,-32.316035586047064,MRA,0
zzy,-0.0,0.0,0.0,n7,-28.691000128861642,MRA,0
zzz,-0.0,0.0,0.0,n7,0.0006973942544986008,MRA,0
xxx,-0.0,0.0,0.0,n3,1296.1980013741863,MRA,0
xxy,-0.0,0.0,0.0,n3,1613.1551054196952,MRA,0
xxz,-0.0,0.0,0.0,n3,0.0003214094329264968,MRA,0
xyx,-0.0,0.0,0.0,n3,1613.1551054195775,MRA,0
xyy,-0.0,0.0,0.0,n3,1294.7448387246448,MRA,0
xyz,-0.0,0.0,0.0,n3,0.00034823503214558244,MRA,0
xzx,-0.0,0.0,0.0,n3,0.000321409430081454,MRA,0
xzy,-0.0,0.0,0.0,n3,0.00034823503178955684,MRA,0
xzz,-0.0,0.0,0.0,n3,-30.39620468792835,MRA,0
yxx,-0.0,0.0,0.0,n3,1613.1551813023511,MRA,0
yxy,-0.0,0.0,0.0,n3,1294.7448057515169,MRA,0
yxz,-0.0,0.0,0.0,n3,0.0003455095693217235,MRA,0
yyx,-0.0,0.0,0.0,n3,1294.7448057514457,MRA,0
yyy,-0.0,0.0,0.0,n3,823.4896878126114,MRA,0
yyz,-0.0,0.0,0.0,n3,7.425351557506793e-05,MRA,0
yzx,-0.0,0.0,0.0,n3,0.0003455095681013435,MRA,0
yzy,-0.0,0.0,0.0,n3,7.425351529710483e-05,MRA,0
yzz,-0.0,0.0,0.0,n3,-23.27108157177472,MRA,0
zxx,-0.0,0.0,0.0,n3,0.0003255676748167969,MRA,0
zxy,-0.0,0.0,0.0,n3,0.00035145217964851566,MRA,0
zxz,-0.0,0.0,0.0,n3,-30.396092456588665,MRA,0
zyx,-0.0,0.0,0.0,n3,0.0003514521788993946,MRA,0
zyy,-0.0,0.0,0.0,n3,7.707511368203287e-05,MRA,0
zyz,-0.0,0.0,0.0,n3,-23.271126585839347,MRA,0
zzx,-0.0,0.0,0.0,n3,-30.39609245660068,MRA,0
zzy,-0.0,0.0,0.0,n3,-23.271126585844634,MRA,0
zzz,-0.0,0.0,0.0,n3,-5.853224122494562e-05,MRA,0
xxx,-0.0,0.0,0.0,n12,-1993.6138479115857,MRA,0
xxy,-0.0,0.0,0.0,n12,7673.132682092522,MRA,0
xxz,-0.0,0.0,0.0,n12,-0.0005669717662790104,MRA,0
xyx,-0.0,0.0,0.0,n12,7673.132682092317,MRA,0
xyy,-0.0,0.0,0.0,n12,-27243.48811168385,MRA,0
xyz,-0.0,0.0,0.0,n12,0.0021432989834465717,MRA,0
xzx,-0.0,0.0,0.0,n12,-0.000566971763712015,MRA,0
xzy,-0.0,0.0,0.0,n12,0.0021432989897419755,MRA,0
xzz,-0.0,0.0,0.0,n12,10.224308992379152,MRA,0
yxx,-0.0,0.0,0.0,n12,7673.128238816862,MRA,0
yxy,-0.0,0.0,0.0,n12,-27243.46687140708,MRA,0
yxz,-0.0,0.0,0.0,n12,0.002148747910969077,MRA,0
yyx,-0.0,0.0,0.0,n12,-27243.46687140529,MRA,0
yyy,-0.0,0.0,0.0,n12,85813.93994581455,MRA,0
yyz,-0.0,0.0,0.0,n12,-0.008341444500936782,MRA,0
yzx,-0.0,0.0,0.0,n12,0.002148747931421368,MRA,0
yzy,-0.0,0.0,0.0,n12,-0.008341444534738885,MRA,0
yzz,-0.0,0.0,0.0,n12,-34.46740519458319,MRA,0
zxx,-0.0,0.0,0.0,n12,-0.0005630674451079965,MRA,0
zxy,-0.0,0.0,0.0,n12,0.0021350271360931787,MRA,0
zxz,-0.0,0.0,0.0,n12,10.224481152793503,MRA,0
zyx,-0.0,0.0,0.0,n12,0.002135027134477203,MRA,0
zyy,-0.0,0.0,0.0,n12,-0.008273850903807372,MRA,0
zyz,-0.0,0.0,0.0,n12,-34.467040969663444,MRA,0
zzx,-0.0,0.0,0.0,n12,10.224481152805485,MRA,0
zzy,-0.0,0.0,0.0,n12,-34.46704096970345,MRA,0
zzz,-0.0,0.0,0.0,n12,0.00014518681318873196,MRA,0
xxx,-0.0,0.0,0.0,n9,20367.511064938484,MRA,0
xxy,-0.0,0.0,0.0,n9,20978.97303854308,MRA,0
xxz,-0.0,0.0,0.0,n9,-0.000933245463247153,MRA,0
xyx,-0.0,0.0,0.0,n9,20978.973038540902,MRA,0
xyy,-0.0,0.0,0.0,n9,20305.12034704207,MRA,0
xyz,-0.0,0.0,0.0,n9,-0.000831489569909509,MRA,0
xzx,-0.0,0.0,0.0,n9,-0.000933245460755107,MRA,0
xzy,-0.0,0.0,0.0,n9,-0.0008314895737273594,MRA,0
xzz,-0.0,0.0,0.0,n9,-29.353374192697945,MRA,0
yxx,-0.0,0.0,0.0,n9,20978.976028043355,MRA,0
yxy,-0.0,0.0,0.0,n9,20305.122324229673,MRA,0
yxz,-0.0,0.0,0.0,n9,-0.0008313363742641015,MRA,0
yyx,-0.0,0.0,0.0,n9,20305.122324227992,MRA,0
