ijk,Afreq,Bfreq,Cfreq,molecule,Beta,basis,omega
xzz,-0.0,0.0,0.0,n13,-22.59726586373958,MRA,0
yxx,-0.0,0.0,0.0,n13,38951.77912410755,MRA,0
yxy,-0.0,0.0,0.0,n13,40949.02630586265,MRA,0
yxz,-0.0,0.0,0.0,n13,-0.001984021103520552,MRA,0
yyx,-0.0,0.0,0.0,n13,40949.026305860054,MRA,0
yyy,-0.0,0.0,0.0,n13,41835.5329496805,MRA,0
yyz,-0.0,0.0,0.0,n13,-0.0018902917941665627,MRA,0
yzx,-0.0,0.0,0.0,n13,-0.00198402109383611,MRA,0
yzy,-0.0,0.0,0.0,n13,-0.0018902918804507376,MRA,0
yzz,-0.0,0.0,0.0,n13,-23.557534290592088,MRA,0
zxx,-0.0,0.0,0.0,n13,-0.002093584207904502,MRA,0
zxy,-0.0,0.0,0.0,n13,-0.0019938657238277434,MRA,0
zxz,-0.0,0.0,0.0,n13,-22.59646500495721,MRA,0
zyx,-0.0,0.0,0.0,n13,-0.0019938657215458786,MRA,0
zyy,-0.0,0.0,0.0,n13,-0.0019006412819352189,MRA,0
zyz,-0.0,0.0,0.0,n13,-23.557730996642917,MRA,0
zzx,-0.0,0.0,0.0,n13,-22.596465004945156,MRA,0
zzy,-0.0,0.0,0.0,n13,-23.557730996602473,MRA,0
zzz,-0.0,0.0,0.0,n13,0.00023478590098754704,MRA,0
xxx,-0.0,0.0,0.0,n2,-257.57004828969997,MRA,0
xxy,-0.0,0.0,0.0,n2,524.4681032759129,MRA,0
xxz,-0.0,0.0,0.0,n2,2.3587460927102682e-05,MRA,0
xyx,-0.0,0.0,0.0,n2,524.4681032758816,MRA,0
xyy,-0.0,0.0,0.0,n2,-686.912440981407,MRA,0
xyz,-0.0,0.0,0.0,n2,-4.19663876857571e-05,MRA,0
xzx,-0.0,0.0,0.0,n2,2.358746098675433e-05,MRA,0
xzy,-0.0,0.0,0.0,n2,-4.196638751086382e-05,MRA,0
xzz,-0.0,0.0,0.0,n2,19.761699622483345,MRA,0
yxx,-0.0,0.0,0.0,n2,524.4683122233251,MRA,0
yxy,-0.0,0.0,0.0,n2,-686.9119440790887,MRA,0
yxz,-0.0,0.0,0.0,n2,-4.1866191309440676e-05,MRA,0
yyx,-0.0,0.0,0.0,n2,-686.9119440790324,MRA,0
yyy,-0.0,0.0,0.0,n2,392.1506234757649,MRA,0
yyz,-0.0,0.0,0.0,n2,0.00010826505989303763,MRA,0
yzx,-0.0,0.0,0.0,n2,-4.186619132152959e-05,MRA,0
yzy,-0.0,0.0,0.0,n2,0.00010826505939344602,MRA,0
yzz,-0.0,0.0,0.0,n2,-25.809137121738747,MRA,0
zxx,-0.0,0.0,0.0,n2,2.7368267807135998e-05,MRA,0
zxy,-0.0,0.0,0.0,n2,-4.040873514224125e-05,MRA,0
zxz,-0.0,0.0,0.0,n2,19.76132907330202,MRA,0
zyx,-0.0,0.0,0.0,n2,-4.040873515997162e-05,MRA,0
zyy,-0.0,0.0,0.0,n2,0.0001106037506579376,MRA,0
zyz,-0.0,0.0,0.0,n2,-25.809097477305528,MRA,0
zzx,-0.0,0.0,0.0,n2,19.7613290733087,MRA,0
